FrameNumber;Time(ms);xAngle(°);yAngle(°);zAngle(°)
721;8163;353;0;0;
722;8174;353;359;0;
723;8187;353;359;0;
724;8197;353;359;0;
725;8207;353;359;0;
726;8220;353;359;0;
727;8231;353;359;0;
728;8241;353;359;0;
729;8255;353;359;0;
730;8266;353;359;0;
731;8276;353;359;0;
732;8290;353;359;0;
733;8300;353;359;0;
734;8313;353;359;0;
735;8326;352;359;0;
736;8335;352;359;0;
737;8347;352;359;0;
738;8361;352;359;0;
739;8372;352;359;0;
740;8383;352;359;0;
741;8394;352;359;0;
742;8402;352;359;0;
743;8415;351;359;0;
744;8429;351;359;0;
745;8438;351;359;0;
746;8448;351;359;0;
747;8457;351;359;0;
748;8465;351;359;0;
749;8475;351;359;0;
750;8491;351;359;0;
